word,series_frequency,english_frequency,filter_reason,vocabulary_level
gun,15,35217715,Oxford 3000,B1
copper,9,14648423,Vocabulary level below C (B2),B2
bet,8,19562562,Oxford 3000,C1
cut,7,74169573,Oxford 3000,A2
robbery,7,2858938,Vocabulary level below C (B2),B2
sir,6,20704773,Oxford 3000,B1
doing,6,81188350,"High English frequency (81,188,350 > 20,000,000)",N/A
maybe,6,51946944,Oxford 3000,A2
nothing,6,73363579,Oxford 3000,A2
believe,5,75918053,Oxford 3000,A2
coming,5,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
blood,5,61544877,Oxford 3000,A2
factory,5,29687803,Oxford 3000,A1
bullet,5,10486892,Oxford 3000,B2
stop,5,86868060,Oxford 3000,A1
sorry,5,35595812,Oxford 3000,A1
mud,5,6173677,Oxford 3000,B2
whole,5,85317360,Oxford 3000,A2
judgment,5,18456411,Vocabulary level below C (B2),B2
wrong,5,49934294,Oxford 3000,A1
win,4,79848750,Oxford 3000,A2
morning,4,55268727,Oxford 3000,A1
ten,4,50614853,Oxford 3000,A1
strike,4,24807822,Oxford 3000,B1
stand,4,65383320,Oxford 3000,A2
aunt,4,5203060,Oxford 3000,A2
round,4,67565012,Oxford 3000,A2
won,4,29998103,"High English frequency (29,998,103 > 20,000,000)",N/A
horse,4,58453720,Oxford 3000,A1
race,3,62012493,Oxford 3000,A2
poor,3,48168685,Oxford 3000,A1
lad,3,3212044,Easy word (easy_words.csv),C2
mad,3,16741838,Oxford 3000,A2
tonight,3,20720362,Oxford 3000,A1
reward,3,15159375,Oxford 3000,B1
wish,3,84275843,Oxford 3000,B2
shell,3,24748321,Oxford 3000,B2
drunk,3,10840975,Oxford 3000,B2
leave,3,70957750,Oxford 3000,A1
pub,3,30228948,Oxford 3000,A2
talking,3,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
scared,3,5071401,Oxford 3000,B1
changed,3,45453557,"High English frequency (45,453,557 > 20,000,000)",N/A
cannot,3,88737,Oxford 3000,A1
hide,3,28857707,Oxford 3000,B1
asking,3,19887691,Easy word (easy_words.csv),N/A
yard,3,29808940,Oxford 3000,B1
taken,3,87019836,"High English frequency (87,019,836 > 20,000,000)",N/A
sent,3,68953120,"High English frequency (68,953,120 > 20,000,000)",N/A
fighting,3,20036994,Oxford 3000,B2
moon,3,29447801,Oxford 3000,N/A
brother,3,56375413,Oxford 3000,A1
pretty,3,51699969,Oxford 3000,A2
father,3,54388623,Oxford 3000,A1
uniform,3,19075625,Oxford 3000,A2
across,3,76597151,Oxford 3000,A2
ordinary,3,14591298,Oxford 3000,B1
myself,3,37983649,Oxford 3000,A2
understand,3,65846056,Oxford 3000,A1
anything,3,75999346,Oxford 3000,A1
told,3,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
fortune,2,12387313,Oxford 3000,B2
magic,2,36764626,Oxford 3000,A2
lady,2,58395651,Oxford 3000,B1
anyone,2,74326492,Oxford 3000,A2
penny,2,8169790,Oxford 3000,B1
seen,2,78381896,"High English frequency (78,381,896 > 20,000,000)",N/A
powder,2,13908965,Oxford 3000,B1
trick,2,18230658,Oxford 3000,B1
agreed,2,28717540,"High English frequency (28,717,540 > 20,000,000)",N/A
taking,2,70312688,"High English frequency (70,312,688 > 20,000,000)",N/A
army,2,46902606,Oxford 3000,C2
eight,2,32784155,Oxford 3000,A1
hear,2,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
shut,2,12663576,Oxford 3000,A2
vote,2,90446691,Oxford 3000,B1
raise,2,21099943,Oxford 3000,B1
feet,2,57226055,"High English frequency (57,226,055 > 20,000,000)",N/A
soon,2,77038135,Oxford 3000,A2
sister,2,35155790,Oxford 3000,A1
himself,2,39757666,Oxford 3000,A2
hope,2,83608473,Oxford 3000,A2
sometime,2,52184367,Oxford 3000,N/A
chance,2,51442371,Oxford 3000,B1
breathe,2,4368304,Oxford 3000,B1
bring,2,74972410,Oxford 3000,A2
playing,2,51019438,"High English frequency (51,019,438 > 20,000,000)",N/A
swear,2,3406203,Oxford 3000,B2
fight,2,34268222,Oxford 3000,B1
chief,2,50021210,Oxford 3000,B2
inspector,2,11560961,Vocabulary level below C (B2),B2
asked,2,75532722,"High English frequency (75,532,722 > 20,000,000)",N/A
lately,2,5574422,Vocabulary level below C (B1),B1
anyway,2,26880093,"High English frequency (26,880,093 > 20,000,000)",A2
everything,2,91495139,Oxford 3000,A2
inside,2,74360351,Oxford 3000,A1
bay,2,81093638,"High English frequency (81,093,638 > 20,000,000)",B1
holy,2,23780151,Oxford 3000,C1
blow,2,33901158,Oxford 3000,B1
move,2,70113140,Oxford 3000,A2
sense,2,52629633,Oxford 3000,B1
mother,2,66782465,Oxford 3000,A1
walk,2,46873435,Oxford 3000,A1
greet,2,2356647,Oxford 3000,B1
princess,2,15602441,Oxford 3000,B1
laugh,2,12662275,Oxford 3000,A2
favour,2,6132298,Oxford 3000,B1
worked,2,38128226,"High English frequency (38,128,226 > 20,000,000)",N/A
ocean,2,35377889,Oxford 3000,B1
singing,2,10349448,Oxford 3000,A2
rotten,2,4883839,Vocabulary level below C (B2),B2
gang,2,18358295,Oxford 3000,B2
worse,2,15677739,Easy word (easy_words.csv),A2
spread,2,27917385,Oxford 3000,B2
trust,2,61432231,Oxford 3000,B1
hat,2,35813798,Oxford 3000,A1
pray,2,8945129,Oxford 3000,A2
bottle,2,26036737,Oxford 3000,A2
anybody,2,10367449,Oxford 3000,A2
hurt,2,15892533,Oxford 3000,A2
knew,2,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
ear,2,22197043,Oxford 3000,A1
lover,2,19192091,Vocabulary level below C (B1),B1
onto,2,26411439,Oxford 3000,B1
crazy,2,23174564,Oxford 3000,A2
dig,2,8466001,Oxford 3000,B1
mind,2,84923564,Oxford 3000,B1
boat,2,49704793,Oxford 3000,A1
brain,2,37025785,Oxford 3000,A2
bury,2,3091991,Oxford 3000,B1
heaven,2,22161578,Easy word (easy_words.csv),B2
spell,1,12381087,Oxford 3000,A2
yourself,1,53653034,Oxford 3000,A2
cave,1,7668883,Vocabulary level below C (B1),B1
rich,1,38868722,Oxford 3000,A2
