word,series_frequency,english_frequency,vocabulary_level
whicker,1,24903,N/A
whispering,1,1061994,N/A
nicker,1,0,N/A
whinny,1,21343,N/A
ripping,1,1582529,N/A
tracked,1,11801246,N/A
behead,1,64586,N/A
crackle,1,532611,N/A
neighing,1,17412,N/A
snarling,1,163980,N/A
nois,1,1698820,N/A
coughing,1,878491,N/A
panting,1,340695,N/A
wheezing,1,341229,N/A
stomp,1,1276853,N/A
stitching,1,1440632,N/A
thunk,1,253564,N/A
marksman,1,230600,N/A
practicing,1,4367159,N/A
guardsman,1,143881,N/A
captured,1,8081642,N/A
muttering,1,452164,N/A
broke,1,10460811,N/A
warned,1,5292851,N/A
baratheon,1,0,N/A
protector,1,7277441,N/A
warden,1,2008441,N/A
lying,1,8260845,N/A
madman,1,738188,N/A
yip,1,518273,N/A
freak,1,6388750,N/A
sigil,1,151147,N/A
runt,1,247589,N/A
tolling,1,261245,N/A
jumped,1,3761906,N/A
casterly,1,0,N/A
mimicking,1,294826,N/A
skewered,1,96177,N/A
rumble,1,2105188,N/A
caw,1,413385,N/A
chirping,1,170184,N/A
catelyn,1,0,N/A
stature,1,995928,N/A
barrel,1,9227978,N/A
ale,1,4184997,N/A
sleek,1,2734565,N/A
mink,1,1054621,N/A
tommy,1,9523133,N/A
shear,1,3732257,N/A
ohh,1,526430,N/A
neigh,1,211412,N/A
guarding,1,1005862,N/A
jaime,1,1600947,N/A
crypt,1,1999874,N/A
riding,1,15435415,N/A
burned,1,4993504,N/A
loved,1,19719299,N/A
aye,1,8638435,N/A
earned,1,12540187,N/A
drunken,1,2053197,N/A
lecher,1,26232,N/A
prone,1,3001079,N/A
perversion,1,524442,N/A
expecting,1,4908583,N/A
blessing,1,6736499,N/A
whorehouse,1,81814,N/A
craf,1,245152,N/A
feasting,1,268332,N/A
begun,1,8636352,N/A
giggling,1,396860,N/A
belonged,1,1872474,N/A
gracious,1,1580782,N/A
slouch,1,258728,N/A
reign,1,4254700,C1
punctuality,1,243610,N/A
athchomar,1,0,N/A
chomakaan,1,0,N/A
visery,1,0,N/A
combat,1,15171320,C2
braid,1,1382749,N/A
finest,1,9668295,N/A
offense,1,8248745,N/A
joffrey,1,74077,N/A
stupidest,1,199459,N/A
hush,1,1714301,N/A
rodrik,1,64449,N/A
bigger,1,13236401,N/A
midst,1,3381410,N/A
refused,1,9323160,N/A
rattle,1,1541835,N/A
preparing,1,12556793,N/A
accomplishment,1,5425828,N/A
armor,1,6094107,N/A
dwarf,1,4350711,N/A
beheaded,1,371424,N/A
ranger,1,10861985,N/A
pfft,1,91078,N/A
madness,1,5698238,N/A
slaughtered,1,812883,N/A
hmph,1,75422,N/A
ambush,1,926840,N/A
dove,1,3253560,N/A
bled,1,620251,N/A
neighbor,1,13643777,N/A
stale,1,1065657,C1
northman,1,0,N/A
nest,1,6735749,C2
maester,1,0,N/A
luwin,1,0,N/A
clos,1,5872869,N/A
fled,1,2245856,N/A
widowed,1,886454,N/A
spike,1,6690828,N/A
conspire,1,286017,N/A
clamoring,1,161773,N/A
jeering,1,50002,N/A
promised,1,7162874,N/A
crown,1,18024012,N/A
favor,1,18267074,N/A
waited,1,3938627,N/A
ululating,1,0,N/A
cheering,1,906545,N/A
clang,1,231706,N/A
jadi,1,89115,N/A
zhey,1,0,N/A
andahli,1,0,N/A
khaleesi,1,0,N/A
mormont,1,0,N/A
asshai,1,0,N/A
magister,1,226183,N/A
waf,1,11140230,N/A
crashing,1,1901462,N/A
clank,1,265523,N/A
sobbing,1,346430,N/A
squirting,1,8492512,N/A
putting,1,18519708,N/A
grunt,1,899946,N/A
gasping,1,352190,N/A
climber,1,1836220,N/A
